open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,open_time.1,open_time
2020-10-14 00:00:00+00:00,1.3,1.88,1.05,1.1685,33930218.86,1602719999999,41481573.243986,94666,16622491.93,20352243.742921,0,,
2020-10-15 00:00:00+00:00,1.1685,1.2522,1.0792,1.1209,11332956.19,1602806399999,13125074.454667,50562,6010618.76,6969229.039397,0,,
2020-10-16 00:00:00+00:00,1.1222,1.1524,0.812,0.8171,18486274.59,1602892799999,17374515.727307,61270,8444071.4,7925260.053843,0,,
2020-10-17 00:00:00+00:00,0.8171,0.8649,0.72,0.8073,11674014.53,1602979199999,9195278.384476,41288,5634961.12,4448822.042395,0,,
2020-10-18 00:00:00+00:00,0.8074,0.8753,0.8007,0.8692,5960006.25,1603065599999,4953300.260569,20094,3009038.21,2501663.355585,0,,
2020-10-19 00:00:00+00:00,0.8703,0.871,0.765,0.7993,5584352.53,1603151999999,4574068.946308,19570,2370165.16,1942797.769173,0,,
2020-10-20 00:00:00+00:00,0.7993,0.81,0.67,0.6757,7513041.18,1603238399999,5480522.419395,24941,3154908.33,2305691.013857,0,,
2020-10-21 00:00:00+00:00,0.6774,0.7475,0.6731,0.7044,7268329.25,1603324799999,5178823.684335,24964,3562699.41,2538114.48866,0,,
2020-10-22 00:00:00+00:00,0.7045,0.7881,0.7042,0.7484,5704822.9,1603411199999,4294101.16457,22932,2926364.45,2203363.534594,0,,
2020-10-23 00:00:00+00:00,0.7479,0.7535,0.6862,0.7271,3774042.75,1603497599999,2737399.391678,14437,1662707.08,1207391.557689,0,,
2020-10-24 00:00:00+00:00,0.7263,0.7585,0.7052,0.7391,3236181.66,1603583999999,2361460.310272,15464,1553574.51,1134086.355762,0,,
2020-10-25 00:00:00+00:00,0.7389,0.8581,0.729,0.8444,11721841.25,1603670399999,9388049.631253,37979,6123674.75,4909760.535465,0,,
2020-10-26 00:00:00+00:00,0.8456,0.8567,0.7396,0.7784,7675162.26,1603756799999,6068472.534451,30725,3704744.26,2931931.16485,0,,
2020-10-27 00:00:00+00:00,0.7803,0.8068,0.7447,0.7598,4825820.98,1603843199999,3753670.209963,22170,2323544.63,1810199.679249,0,,
2020-10-28 00:00:00+00:00,0.7609,0.7785,0.681,0.7,5748696.55,1603929599999,4153622.712546,19862,2595778.09,1880161.225632,0,,
2020-10-29 00:00:00+00:00,0.7006,0.7246,0.6702,0.6895,5560173.67,1604015999999,3905474.755205,13072,2728011.06,1918329.262916,0,,
2020-10-30 00:00:00+00:00,0.69,0.7042,0.6127,0.6306,7402852.45,1604102399999,4770414.764411,14446,3568563.51,2296405.101325,0,,
2020-10-31 00:00:00+00:00,0.6304,0.6564,0.6184,0.6385,4194888.74,1604188799999,2674466.730122,9764,2132275.97,1358921.944366,0,,
2020-11-01 00:00:00+00:00,0.6386,0.6568,0.6,0.635,8584893.91,1604275199999,5405751.160626,17799,4351553.63,2740822.643925,0,,
2020-11-02 00:00:00+00:00,0.6361,0.6517,0.5976,0.6064,16305764.58,1604361599999,10207170.213805,24467,8163273.34,5112615.836282,0,,
2020-11-03 00:00:00+00:00,0.6059,0.6123,0.5573,0.5621,5823630.76,1604447999999,3378452.932623,9604,2783622.17,1615924.438259,0,,
2020-11-04 00:00:00+00:00,0.5629,0.5644,0.5246,0.5338,6931955.77,1604534399999,3764805.73709,13770,3431089.15,1864273.564627,0,,
2020-11-05 00:00:00+00:00,0.5342,0.7179,0.5336,0.6912,14869185.28,1604620799999,9410691.611191,34301,7609841.85,4789293.687148,0,,
2020-11-06 00:00:00+00:00,0.6914,0.765,0.6881,0.7193,12581256.17,1604707199999,9126908.728081,30518,6132680.08,4448721.232743,0,,
2020-11-07 00:00:00+00:00,0.7198,0.7932,0.6697,0.6961,14821653.13,1604793599999,10773907.591723,26205,7193772.24,5232889.506896,0,,
2020-11-08 00:00:00+00:00,0.6957,0.8297,0.682,0.8169,7575217.1,1604879999999,5838969.547427,16970,3920723.22,3028320.052332,0,,
2020-11-09 00:00:00+00:00,0.8165,0.9289,0.7972,0.9289,10185871.67,1604966399999,8641832.286814,25419,5382465.49,4574189.047176,0,,
2020-11-10 00:00:00+00:00,0.9295,0.9744,0.882,0.9456,13205405.01,1605052799999,12169109.503022,35252,6561470.07,6048713.292397,0,,
2020-11-11 00:00:00+00:00,0.9456,0.9923,0.8571,0.8604,11130743.46,1605139199999,10244005.469171,29811,5412715.7,4983449.505476,0,,
2020-11-12 00:00:00+00:00,0.8599,0.8796,0.7603,0.7893,10143967.5,1605225599999,8312708.981263,25184,4696313.6,3845842.069392,0,,
2020-11-13 00:00:00+00:00,0.7896,0.918,0.779,0.8981,13561690.91,1605311999999,11594802.912908,33132,6776381.88,5795914.95681,0,,
2020-11-14 00:00:00+00:00,0.8992,0.9039,0.8213,0.8681,12151278.59,1605398399999,10430670.909498,30009,5910474.13,5073922.282251,0,,
2020-11-15 00:00:00+00:00,0.8685,0.8867,0.7978,0.8296,13102922.31,1605484799999,10960269.490594,28131,6280347.9,5254977.794973,0,,
